Week,GE,MSFT,JPM,AAPL,GOOG
1,25.58,45.860001,58.869999,105.400002,543.002488
2,25.73,47.299999,60.240002,109.360001,553.002509
3,26.469999,48.849998,61.709999,108.699997,548.492459
4,26.700001,49.130001,60.349998,113.940002,537.502419
5,27.01,47.66,61.16,119.07,539.002444
6,26.07,48.84,60.009998,113.5,533.512412
7,25.459999,47.110001,61.849998,110.190002,522.142362
8,24.540001,45.900002,58.419998,106.370003,511.562321
9,25.690001,48.369999,62.049999,113.230003,527.00237
10,25.610001,47.439999,62.720001,113.639999,528.092396
11,24.459999,46.380001,60.639999,106.540001,515.002358
12,24.26,46.970001,59.259998,111.43,498.842256
13,23.84,46.299999,56.040001,107.839996,511.002313
14,24.389999,42.950001,56.049999,112.419998,529.972369
15,24.290001,41.630001,55.91,118.5,528.002366
16,24.77,42.740002,58.419998,120.169998,529.302379
17,25.120001,43.970001,59.360001,127.489998,546.832511
18,25.120001,44.150002,60.25,132.940002,530.002419
19,26.049999,43.560001,61.650002,128.960007,570.452587
20,25.5,42.349998,60.759998,126.410004,564.252539
21,25.299999,41.369999,61.34,125.900002,551.712533
22,25.379999,42.779999,60.970001,127.230003,562.562541
23,25.09,40.779999,60.720001,126.089996,550.00246
24,25.17,41.610001,61.150002,127.639999,538.08244
25,27.48,41.799999,62.959999,127,536.252409
26,27.030001,43,63.330002,128.100006,537.512456
27,26.950001,47.779999,62.490002,134.460007,554.640015
28,27.25,47.82,64.510002,128.149994,538.210022
29,26.82,46.849998,65.309998,125.599998,531.599976
30,27.27,47.560001,66.769997,130.690002,533.97998
31,27.52,46.830002,66.199997,132.600006,538.119995
32,27.219999,46.93,65.830002,129.860001,532.929993
33,27.280001,45.759998,66.949997,126.699997,527.559998
34,27.17,45.349998,67.769997,127.029999,528.400024
35,27.42,46.130001,69.349998,127.480003,539.640015
36,26.82,44.709999,67.889999,125.57,526.02002
37,26.379999,44.34,67.089996,125.889999,523.130005
38,26.35,45.450001,67.980003,126.040001,546.76001
39,27.01,46.779999,69.160004,132.850006,655.210022
40,26.1,45.580002,68.550003,123.379997,632.830017
41,25.889999,46.75,68.470001,117.419998,628.419983
42,26.030001,46.82,68.230003,117.809998,669.200012
43,26.17,46.84,67.980003,116.43,661.900024
44,24.73,42.57,63.099998,111.110001,614.909973
45,24.24,42.169998,62.849998,110.150002,602.359985
46,24.51,43.299999,62.77,111.75,612.48999
47,24.9,43.189999,62.759998,115.93,626.700012
48,24.76,43.380001,60.599998,113.379997,627
49,24.33,43.369999,59.98,112.830002,597.280029
50,26.99,46.330002,62.110001,110.629997,638.840027
51,27.969999,46.560001,61.389999,110.82,643.150024
52,28.82,47.439999,62.360001,111.339996,664.039978
