JPM,AMZN,AAPL,DOC,GOOG
-0.008820127,0.098585776,-0.071283402,-0.006828057,-0.034156988
0.017358046,0.055329642,0.054030467,-0.003094059,0.198350282
0.013265762,0.061145795,0.001191516,0.008739076,0.045170417
-0.011783768,0.003408567,0.002548379,0.056728232,-0.005494088
-0.021052632,-0.003191074,-0.014982742,-0.039290241,-0.025239048
0.023314151,0.02697159,0.00354247,0.006377551,0.021271764
0.012247946,0.002813505,0.002604578,-0.026691496,0.001592236
0.01701352,-0.016532192,-0.024333898,-0.008615385,-0.01007637
-0.005589124,0.009080244,-0.02066365,-0.013956311,-0.009644689
-0.008536768,0.003130369,0.014614737,-0.011990408,0.007753099
0.022354923,-0.014405679,0.040525478,0.023312883,0.00447705
0.012401178,0.019463167,-0.019898556,-0.022781775,-0.012281451
0.032325172,-0.035711842,-0.046928455,-0.04957265,-0.029622818
-0.013263856,0.12062048,0.049648712,0.014450867,0.031869175
0.005876747,0.020338453,0.008661417,-0.004029937,0.00234965
0.029599346,0.019566662,-0.005014102,-0.018089316,-0.003400981
0.007081686,0.007796592,0.012292807,0,-0.021672727
-0.004100377,-0.002005401,-0.008960151,0.001698754,-0.022326507
-0.006031953,0.007760502,0.01056394,0.051816557,0.019666129
0.009545754,-0.016796927,-0.004034491,0.062658228,-0.022224191
-0.014436334,-0.016929288,-0.019773573,-0.045317221,-0.010868612
0.023236515,0.013997095,-0.029938318,0.006690998,0.076320755
0.014993261,0.002462141,0.042748451,-0.025489034,-0.03077739
0.01609038,0.017592069,0.060913706,0.020568663,0.033119214
0.044893579,0.030253407,0.014092827,-0.041183295,0.002462121
-0.00249777,0.1762651,0.054082903,0.000580383,-0.003717192
0.000178444,0.046857377,0.042470326,0.010557185,0.037123288
-0.054336821,-0.01643808,-0.032217536,-0.011594203,0.024376554
-0.022757256,-0.015749074,0.045898254,0.015303119,-0.031378641
-0.033163265,-0.024749121,-0.062478001,0.016756433,-0.024787442
0.010797744,0.009544596,0.003620949,-0.007130125,0.002068311
0.062136255,0.008641367,0.064491868,0.078846154,0.030182188
-0.05545675,0.004488597,-0.034667393,0.001926782,-0.020262765
0.030661556,-0.074839695,-0.029162996,0.021653543,-0.021311691
-0.018803139,-0.023175351,-0.046779206,-0.018041237,-0.010185529
0.013421707,0.034815889,0.045023697,-0.009572431,0.002790698
-0.022038567,0.058998496,0.048206072,0.016872161,-0.020036828
0.02440239,0.006414685,-0.006035113,-0.002588997,-0.008155515
0.023271615,0.049109608,0.037571157,0.03,0.018416206
0.028656299,-0.064988706,0.02310231,0.042390549,0.033911537
